neighbourhood group,neighbourhood,lat,long,price
Brooklyn,South Slope,40.66853,-73.98912,$631 
Manhattan,East Village,40.7254,-73.98157,$677 
Manhattan,Kips Bay,40.74294,-73.98009,$574 
Brooklyn,Williamsburg,40.71942,-73.95748,$232 
Manhattan,Upper West Side,40.77823,-73.97637,"$1,154 "
Manhattan,East Village,40.72555,-73.97965,$737 
Brooklyn,South Slope,40.66831,-73.98604,$456 
Manhattan,Harlem,40.82754,-73.94919,$291 
Brooklyn,South Slope,40.66499,-73.97925,$996 
Manhattan,Upper West Side,40.77842,-73.97556,$788 
Manhattan,East Village,40.72245,-73.98527,"$1,105 "
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,"$1,109 "
Brooklyn,Williamsburg,40.71923,-73.96468,$659 
Manhattan,Upper East Side,40.778,-73.94822,$571 
Manhattan,Washington Heights,40.85879,-73.93128,$736 
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,$946 
Manhattan,Harlem,40.81618,-73.94894,$449 
Brooklyn,Clinton Hill,40.68414,-73.96351,$930 
Manhattan,East Village,40.72392,-73.99143,$329 
Brooklyn,Greenpoint,40.73494,-73.9503,"$1,125 "
Manhattan,Lower East Side,40.71341,-73.98856,"$1,099 "
Manhattan,Hell's Kitchen,40.76754,-73.98399,$256 
Manhattan,West Village,40.73442,-74.00303,$263 
Brooklyn,Flatlands,40.63188,-73.93248,$96 
Brooklyn,Clinton Hill,40.6873,-73.9634,"$1,192 "
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,$593 
Brooklyn,Clinton Hill,40.6863,-73.96765,$490 
Brooklyn,Greenpoint,40.73409,-73.95348,$488 
Brooklyn,Williamsburg,40.71561,-73.94835,$658 
Brooklyn,Cobble Hill,40.6857,-73.99183,"$1,109 "
Queens,Flushing,40.74028,-73.83168,$606 
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,$853 
Brooklyn,Williamsburg,40.71596,-73.93938,$172 
Brooklyn,Williamsburg,40.71165,-73.96087,"$1,133 "
Brooklyn,Fort Greene,40.69101,-73.97312,$162 
Manhattan,West Village,40.73474,-74.00101,$944 
Brooklyn,Prospect Heights,40.67386,-73.96641,$505 
Brooklyn,Williamsburg,40.71536,-73.96057,$113 
Brooklyn,Prospect Heights,40.6741,-73.96595,$810 
Manhattan,East Harlem,40.79295,-73.93997,$370 
Manhattan,West Village,40.73226,-74.00401,$738 
Brooklyn,Williamsburg,40.71363,-73.96398,"$1,013 "
Manhattan,Upper East Side,40.77711,-73.9527,$464 
Brooklyn,Boerum Hill,40.68559,-73.98094,$744 
Manhattan,Upper East Side,40.77456,-73.95323,$764 
,Williamsburg,40.71088,-73.95055,"$1,020 "
Queens,Sunnyside,40.74559,-73.92313,$355 
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,$244 
Brooklyn,DUMBO,40.70207,-73.98571,$385 
Manhattan,Upper East Side,40.76123,-73.9642,$950 
Brooklyn,Gowanus,40.66858,-73.99083,$374 
Manhattan,Harlem,40.82704,-73.94907,$375 
,Clinton Hill,40.68843,-73.96408,$925 
Brooklyn,Carroll Gardens,40.6783,-74.00135,$842 
Staten Island,St. George,40.64524,-74.08088,"$1,015 "
Brooklyn,Bushwick,40.70641,-73.91765,$503 
Bronx,Highbridge,40.83232,-73.93184,$483 
Brooklyn,Williamsburg,40.71045,-73.9677,$176 
Manhattan,East Village,40.72518,-73.98034,$185 
Manhattan,Financial District,40.70666,-74.01374,$387 
Brooklyn,Fort Greene,40.69098,-73.97113,"$1,155 "
Manhattan,West Village,40.73756,-74.00405,$665 
Manhattan,Harlem,40.81526,-73.94791,$175 
Manhattan,West Village,40.73423,-74.0046,$408 
Manhattan,Harlem,40.82374,-73.9373,$601 
Brooklyn,Fort Greene,40.68863,-73.97691,$107 
Queens,Ridgewood,40.70382,-73.89797,$724 
Manhattan,Morningside Heights,40.80549,-73.95924,$450 
Brooklyn,Williamsburg,40.71627,-73.9587,"$1,153 "
Brooklyn,Park Slope,40.67994,-73.97863,$327 
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,$946 
Brooklyn,Prospect Heights,40.67868,-73.97307,$498 
Manhattan,Upper East Side,40.76834,-73.95334,$720 
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,$174 
Manhattan,Chelsea,40.74031,-73.99999,$323 
Manhattan,Hell's Kitchen,40.76307,-73.99665,$539 
Manhattan,Lower East Side,40.71882,-73.98852,$232 
Brooklyn,South Slope,40.6693,-73.98804,$968 
Manhattan,Upper East Side,40.77333,-73.95199,$460 
Manhattan,Lower East Side,40.72319,-73.99201,$81 
,Chelsea,40.74859,-73.99671,$267 
Queens,Jamaica,40.67252,-73.76597,"$1,084 "
Manhattan,Hell's Kitchen,40.76244,-73.99271,$402 
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,$457 
Queens,Middle Village,40.71722,-73.87856,$938 
Queens,Ridgewood,40.70234,-73.89816,$405 
Queens,Middle Village,40.71546,-73.87854,$907 
Brooklyn,Williamsburg,40.7195,-73.95976,$693 
Manhattan,Hell's Kitchen,40.76548,-73.98474,$586 
Manhattan,Harlem,40.80234,-73.95603,$112 
,Prospect Heights,40.6787,-73.97262,$936 
Manhattan,Harlem,40.81035,-73.94598,$749 
Bronx,Highbridge,40.83075,-73.93058,$538 
Manhattan,East Harlem,40.79958,-73.94275,$252 
Brooklyn,Williamsburg,40.70979,-73.95162,$131 
Brooklyn,Fort Greene,40.68656,-73.97525,$444 
Manhattan,East Village,40.72752,-73.98432,"$1,089 "
Brooklyn,Greenpoint,40.729,-73.95829,$518 
Manhattan,Harlem,40.81219,-73.94499,$220 
Queens,Ditmars Steinway,40.77185,-73.90502,"$1,133 "
Brooklyn,Cobble Hill,40.68926,-73.99386,$316 
Manhattan,East Village,40.72821,-73.98701,$396 
Manhattan,Hell's Kitchen,40.7672,-73.98508,$813 
Manhattan,East Village,40.73012,-73.99053,$111 
Manhattan,Flatiron District,40.7403,-73.98498,$908 
Manhattan,Harlem,40.80931,-73.94343,$823 
Manhattan,Harlem,40.8251,-73.94287,$186 
Brooklyn,Windsor Terrace,40.6585,-73.98397,$84 
Manhattan,Roosevelt Island,40.76193,-73.9501,$241 
Manhattan,Lower East Side,40.72052,-73.98589,$54 
Queens,Ridgewood,40.70411,-73.89934,$656 
Brooklyn,Greenpoint,40.73401,-73.95967,$509 
Manhattan,Chinatown,40.71756,-73.99503,"$1,198 "
Manhattan,Midtown,40.7589,-73.96991,$588 
Manhattan,SoHo,40.72003,-74.00262,$228 
Manhattan,Greenwich Village,40.73194,-73.99474,$874 
Manhattan,East Harlem,40.79163,-73.94573,"$1,052 "
Manhattan,Harlem,40.8118,-73.94434,"$1,127 "
Manhattan,Harlem,40.81583,-73.94707,$137 
Manhattan,East Village,40.72654,-73.98049,$138 
Manhattan,Upper West Side,40.80021,-73.96071,$597 
,East Harlem,40.80942,-73.93936,$252 
Manhattan,Little Italy,40.71961,-73.9954,$959 
Manhattan,Chelsea,40.74358,-74.00027,$595 
Manhattan,Harlem,40.80335,-73.9575,"$1,076 "
Manhattan,Chinatown,40.71445,-73.9908,$956 
Manhattan,Midtown,40.75749,-73.96897,$81 
Brooklyn,East Flatbush,40.64446,-73.9503,$472 
Manhattan,East Village,40.7268,-73.99079,"$1,058 "
,Bushwick,40.688,-73.9171,"$1,028 "
Staten Island,Tompkinsville,40.63536,-74.08537,$725 
Staten Island,Tompkinsville,40.63627,-74.08543,$784 
Staten Island,Tompkinsville,40.63518,-74.08546,$593 
Manhattan,East Village,40.72477,-73.98161,"$1,067 "
Manhattan,Chelsea,40.74238,-73.99567,$794 
Brooklyn,Greenpoint,40.72945,-73.95511,$842 
Brooklyn,Williamsburg,40.70763,-73.95177,"$1,164 "
Staten Island,Tompkinsville,40.63481,-74.08519,"$1,032 "
Queens,Astoria,40.75384,-73.91433,$545 
Brooklyn,Kensington,40.64106,-73.97426,$786 
Brooklyn,Park Slope,40.66793,-73.98327,$114 
Bronx,Clason Point,40.81309,-73.85514,$643 
,Eastchester,40.88057,-73.83572,$909 
Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,$841 
Manhattan,East Village,40.72185,-73.98246,$73 
Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,"$1,143 "
Manhattan,Inwood,40.86648,-73.9263,$373 
Brooklyn,Williamsburg,40.7069,-73.95467,$572 
Manhattan,East Village,40.72807,-73.98594,$136 
Brooklyn,Crown Heights,40.6778,-73.94339,$383 
Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,$343 
Brooklyn,Crown Heights,40.6761,-73.9529,"$1,095 "
Brooklyn,Crown Heights,40.67586,-73.95155,$503 
Manhattan,Little Italy,40.71702,-73.99811,$895 
Manhattan,East Village,40.72321,-73.98157,$426 
Manhattan,Upper West Side,40.77956,-73.98098,"$1,127 "
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,$368 
Brooklyn,Williamsburg,40.71368,-73.9626,$679 
Manhattan,East Village,40.72956,-73.98158,$850 
Brooklyn,Williamsburg,40.71069,-73.95175,"$1,003 "
Brooklyn,Williamsburg,40.70863,-73.94641,$875 
Manhattan,Harlem,40.82888,-73.94307,$953 
Brooklyn,Park Slope,40.67319,-73.97323,$720 
Brooklyn,Carroll Gardens,40.67846,-73.99443,$387 
Brooklyn,Crown Heights,40.6715,-73.94808,$662 
Manhattan,East Village,40.72681,-73.98534,$375 
Manhattan,Lower East Side,40.71904,-73.99392,$706 
,Williamsburg,40.71031,-73.9583,$387 
Manhattan,Harlem,40.81322,-73.95306,$487 
Brooklyn,Park Slope,40.67732,-73.98225,$779 
Brooklyn,Gowanus,40.68076,-73.9896,$209 
Manhattan,East Harlem,40.79603,-73.94903,"$1,083 "
Brooklyn,Williamsburg,40.71492,-73.96282,$616 
Manhattan,Morningside Heights,40.80393,-73.95838,$968 
Manhattan,Upper West Side,40.80082,-73.9652,$643 
,Harlem,40.82976,-73.94867,$960 
Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,$961 
Manhattan,Upper West Side,40.78971,-73.9729,$544 
Brooklyn,Carroll Gardens,40.67817,-73.99495,$523 
Brooklyn,Greenpoint,40.73119,-73.95578,$614 
Manhattan,Little Italy,40.71943,-73.99627,$178 
Manhattan,Upper West Side,40.78,-73.98249,$61 
Brooklyn,Bushwick,40.70514,-73.91922,$901 
Manhattan,Inwood,40.86713,-73.92811,"$1,189 "
Manhattan,East Village,40.73198,-73.98881,$783 
Manhattan,East Village,40.72542,-73.97986,$69 
Manhattan,Washington Heights,40.83494,-73.93869,"$1,018 "
,Chinatown,40.71659,-73.98945,$651 
Manhattan,West Village,40.72966,-74.00243,$935 
Brooklyn,Greenpoint,40.72898,-73.95552,$784 
Bronx,Kingsbridge,40.87207,-73.90193,$55 
Manhattan,Upper West Side,40.77728,-73.97818,$989 
Brooklyn,Greenpoint,40.72646,-73.95341,"$1,029 "
Brooklyn,Williamsburg,40.71015,-73.96101,$291 
Brooklyn,Williamsburg,40.71903,-73.9597,$787 
Manhattan,East Harlem,40.80892,-73.93985,$269 
Manhattan,Harlem,40.80276,-73.9567,$725 
Queens,Astoria,40.77635,-73.93426,$612 
Brooklyn,Greenpoint,40.72488,-73.95018,$920 
,Williamsburg,40.71398,-73.95763,"$1,080 "
Manhattan,Lower East Side,40.71876,-73.98394,$824 
Brooklyn,South Slope,40.66552,-73.99019,"$1,038 "
Brooklyn,Greenpoint,40.73749,-73.95292,"$1,074 "
Manhattan,Hell's Kitchen,40.76248,-73.9913,$72 
Brooklyn,Boerum Hill,40.68674,-73.98876,$162 
Brooklyn,Clinton Hill,40.6848,-73.96219,$701 
Brooklyn,Williamsburg,40.70516,-73.95455,$566 
Manhattan,East Village,40.72329,-73.98486,$741 
Brooklyn,Greenpoint,40.73776,-73.95327,$338 
Brooklyn,Greenpoint,40.73738,-73.95482,"$1,065 "
Brooklyn,Park Slope,40.67542,-73.98142,"$1,059 "
Brooklyn,Greenpoint,40.73842,-73.95312,"$1,109 "
Brooklyn,Brooklyn Heights,40.6926,-73.99832,$981 
Brooklyn,Brooklyn Heights,40.69441,-73.99771,$589 
Manhattan,East Village,40.72399,-73.98374,$685 
Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,$348 
Brooklyn,Bushwick,40.68949,-73.91708,$824 
Brooklyn,Fort Greene,40.68819,-73.97258,$68 
Brooklyn,Williamsburg,40.7205,-73.96015,$933 
Manhattan,East Village,40.72451,-73.98094,$69 
Brooklyn,Greenpoint,40.73813,-73.95394,"$1,034 "
Brooklyn,Crown Heights,40.67591,-73.94715,$248 
Manhattan,East Village,40.72843,-73.98895,"$1,019 "
Manhattan,Two Bridges,40.71271,-73.99776,$588 
Brooklyn,Crown Heights,40.66966,-73.94735,$206 
Manhattan,Lower East Side,40.71965,-73.98766,$528 
Brooklyn,Clinton Hill,40.68613,-73.96536,$332 
Brooklyn,Bedford-Stuyvesant,40.68048,-73.94911,$174 
Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963,$729 
Queens,Astoria,40.75961,-73.91117,$292 
Brooklyn,Crown Heights,40.67473,-73.94494,"$1,142 "
Brooklyn,Bedford-Stuyvesant,40.69305,-73.93185,"$1,056 "
Brooklyn,Crown Heights,40.67174,-73.95663,$73 
Brooklyn,Williamsburg,40.71055,-73.95098,$56 
Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458,"$1,047 "
Brooklyn,Clinton Hill,40.68413,-73.96542,$643 
Manhattan,Kips Bay,40.73877,-73.97707,$943 
Manhattan,Chelsea,40.74893,-73.99544,"$1,152 "
Manhattan,East Harlem,40.79406,-73.94102,$599 
Brooklyn,Fort Greene,40.68795,-73.97332,$672 
Manhattan,Washington Heights,40.85295,-73.93361,$50 
,Queens Village,40.72413,-73.76133,$671 
Brooklyn,Gowanus,40.66918,-73.99187,$575 
Brooklyn,Williamsburg,40.71125,-73.95613,$99 
Manhattan,Upper West Side,40.78558,-73.9696,$52 
Brooklyn,Williamsburg,40.71577,-73.96053,$964 
Brooklyn,Greenpoint,40.73861,-73.95485,$68 
Manhattan,East Village,40.72577,-73.98745,$549 
Queens,Rockaway Beach,40.58615,-73.81245,$438 
Brooklyn,Crown Heights,40.67086,-73.94872,$490 
Manhattan,Harlem,40.82773,-73.95231,"$1,137 "
Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684,"$1,170 "
Brooklyn,Greenpoint,40.72911,-73.95493,$753 
Manhattan,Upper West Side,40.77944,-73.98567,$369 
Manhattan,Midtown,40.74503,-73.98876,$508 
Brooklyn,Crown Heights,40.67539,-73.96093,$443 
Manhattan,Harlem,40.8054,-73.95189,$947 
Manhattan,Upper East Side,40.78491,-73.9508,$857 
Brooklyn,Fort Greene,40.69088,-73.97307,$861 
Brooklyn,Crown Heights,40.67555,-73.95057,$536 
Manhattan,Hell's Kitchen,40.75835,-73.99193,$690 
Brooklyn,South Slope,40.66527,-73.9886,$971 
Manhattan,Lower East Side,40.71895,-73.99434,$696 
Manhattan,Midtown,40.75579,-73.96699,"$1,188 "
,Harlem,40.82399,-73.95328,"$1,083 "
Manhattan,Harlem,40.81822,-73.94095,$471 
Queens,Astoria,40.76434,-73.92132,$257 
Brooklyn,Crown Heights,40.67705,-73.94925,$225 
Brooklyn,Brooklyn Heights,40.69263,-73.99438,"$1,042 "
Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747,$52 
Manhattan,Chelsea,40.74412,-74.00208,$409 
Manhattan,East Village,40.73067,-73.98702,$121 
Brooklyn,Williamsburg,40.70665,-73.94061,$788 
Brooklyn,Williamsburg,40.72063,-73.95952,$586 
Brooklyn,Park Slope,40.67644,-73.98082,$608 
Manhattan,Harlem,40.80481,-73.94794,$964 
Manhattan,East Village,40.72533,-73.99143,$154 
Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038,$132 
Brooklyn,Kensington,40.64302,-73.97255,$779 
Manhattan,East Village,40.72939,-73.98857,$619 
Manhattan,Upper West Side,40.79918,-73.96607,"$1,155 "
Brooklyn,Gowanus,40.66862,-73.9926,$281 
Manhattan,Harlem,40.81333,-73.94453,$280 
Brooklyn,Williamsburg,40.71109,-73.94332,$250 
Manhattan,Murray Hill,40.7463,-73.97926,$430 
Brooklyn,Williamsburg,40.71823,-73.95849,"$1,170 "
Brooklyn,East Flatbush,40.651,-73.94886,$572 
Brooklyn,Fort Greene,40.68626,-73.97598,$173 
Manhattan,Chelsea,40.74488,-74.001,"$1,092 "
Brooklyn,Park Slope,40.67632,-73.97616,"$1,033 "
Brooklyn,Greenpoint,40.72212,-73.94254,"$1,015 "
Brooklyn,Crown Heights,40.67456,-73.95151,$507 
,Williamsburg,40.71363,-73.96019,$852 
Brooklyn,Crown Heights,40.6755,-73.95878,$445 
Manhattan,East Village,40.72274,-73.97581,$170 
Brooklyn,Boerum Hill,40.6858,-73.9828,$377 
Brooklyn,Park Slope,40.67535,-73.97654,"$1,162 "
Manhattan,Nolita,40.72255,-73.99346,$438 
Manhattan,Nolita,40.72094,-73.99706,$874 
Manhattan,East Village,40.72485,-73.97813,$589 
Manhattan,Harlem,40.80473,-73.9532,$725 
Manhattan,East Village,40.72217,-73.98419,$661 
Brooklyn,Williamsburg,40.71943,-73.9565,$960 
Manhattan,Chelsea,40.74249,-74.00329,$162 
Manhattan,Upper West Side,40.79264,-73.97294,$431 
Brooklyn,Windsor Terrace,40.65749,-73.97675,$226 
Manhattan,Harlem,40.80474,-73.94688,"$1,101 "
Manhattan,Greenwich Village,40.72831,-74.00177,$954 
Brooklyn,Williamsburg,40.71541,-73.94144,$233 
Manhattan,Upper West Side,40.79765,-73.96245,"$1,032 "
Manhattan,Upper East Side,40.78508,-73.95332,"$1,123 "
Bronx,Woodlawn,40.89747,-73.8639,$811 
Manhattan,Lower East Side,40.72008,-73.98404,$935 
Queens,Astoria,40.75725,-73.91098,$465 
Brooklyn,Williamsburg,40.7102,-73.94495,$256 
Brooklyn,Park Slope,40.67359,-73.97904,$716 
Manhattan,East Village,40.72674,-73.9782,"$1,196 "
Manhattan,Harlem,40.81156,-73.94571,$448 
Manhattan,Harlem,40.80497,-73.95016,$920 
Queens,Sunnyside,40.7385,-73.91806,$805 
Brooklyn,Greenpoint,40.72937,-73.95671,$859 
Manhattan,East Village,40.72587,-73.98438,$691 
Manhattan,Harlem,40.82426,-73.9463,$693 
Brooklyn,Williamsburg,40.71624,-73.96272,$747 
Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081,$906 
,Bedford-Stuyvesant,40.68669,-73.91989,$999 
Brooklyn,Williamsburg,40.71534,-73.95914,$252 
Brooklyn,Clinton Hill,40.68288,-73.96024,$718 
Brooklyn,Greenpoint,40.72489,-73.95494,$120 
Brooklyn,Williamsburg,40.70867,-73.94284,"$1,161 "
Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908,$407 
Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908,$857 
Manhattan,Chelsea,40.74346,-73.99882,$839 
Manhattan,Upper West Side,40.77724,-73.98109,"$1,126 "
Manhattan,East Village,40.72972,-73.97995,$166 
Queens,Sunnyside,40.74102,-73.91681,$330 
Brooklyn,Williamsburg,40.71309,-73.94128,$225 
Manhattan,Harlem,40.83096,-73.94633,$839 
Brooklyn,Williamsburg,40.71323,-73.95745,$687 
Brooklyn,Crown Heights,40.67212,-73.9506,$293 
Brooklyn,Williamsburg,40.71023,-73.96665,$814 
Manhattan,Harlem,40.80523,-73.95139,$698 
,East Village,40.72636,-73.98917,$515 
Brooklyn,Greenpoint,40.72185,-73.93956,"$1,124 "
Manhattan,SoHo,40.72351,-73.99683,$817 
Brooklyn,Carroll Gardens,40.6809,-73.99233,$52 
Manhattan,Morningside Heights,40.80525,-73.95916,"$1,198 "
Queens,Sunnyside,40.74,-73.91901,$613 
Manhattan,Upper West Side,40.80006,-73.96049,$961 
Brooklyn,Bushwick,40.70283,-73.92131,"$1,111 "
Manhattan,Washington Heights,40.84468,-73.94303,$409 
Brooklyn,Carroll Gardens,40.68252,-73.99619,$572 
Manhattan,Chelsea,40.74342,-73.99483,$413 
Brooklyn,Park Slope,40.67853,-73.98089,$455 
Brooklyn,Park Slope,40.6788,-73.97643,$563 
Manhattan,Upper West Side,40.77886,-73.98042,$410 
Manhattan,East Village,40.72578,-73.97879,$229 
Brooklyn,South Slope,40.66085,-73.98537,"$1,060 "
Manhattan,East Harlem,40.80113,-73.94503,"$1,046 "
Manhattan,Upper West Side,40.78569,-73.97581,$114 
Manhattan,Harlem,40.82411,-73.94934,$721 
Brooklyn,Bedford-Stuyvesant,40.68131,-73.95332,$146 
Bronx,University Heights,40.85811,-73.90675,$101 
Brooklyn,Williamsburg,40.70667,-73.96524,$723 
Brooklyn,Gravesend,40.60452,-73.97103,$762 
,East Harlem,40.7932,-73.94007,"$1,133 "
Brooklyn,Fort Greene,40.68768,-73.97611,$277 
Manhattan,Harlem,40.80224,-73.94558,$424 
Manhattan,Lower East Side,40.71473,-73.98842,$435 
,Harlem,40.80518,-73.95359,$945 
Manhattan,Harlem,40.80827,-73.95329,$67 
Brooklyn,Greenpoint,40.72901,-73.95812,$590 
Manhattan,Gramercy,40.73476,-73.98452,$365 
